#{"t_start": 1770112823.1224694, "env_id": "LunarLander-v3"}
r,l,t
306.141403,245,182.481854
284.59453,192,182.651043
303.620425,234,182.849087
257.84037,197,183.023608
277.514127,193,183.209701
288.064154,264,183.451624
271.285776,197,183.641571
290.187885,304,183.901109
304.840343,221,184.085812
241.868457,205,184.264851
299.235412,224,184.496402
301.937273,172,184.566853
307.788602,214,184.652093
302.591341,208,184.733959
272.4926,198,184.812356
297.549055,203,184.895186
264.965633,207,184.979006
250.211653,211,185.062969
281.713513,216,185.150373
295.921364,216,185.235338
205.517438,390,185.639256
296.758589,233,185.871695
298.701698,219,186.092809
249.240006,207,186.310238
304.137458,205,186.51638
282.435817,173,186.698902
312.529841,184,186.9062
224.971332,232,187.17261
288.432878,188,187.359391
270.117293,354,187.672718
301.469409,267,187.932852
300.773054,162,188.093216
259.806249,188,188.294695
261.490356,185,188.482965
304.931347,176,188.640337
228.306618,193,188.810585
271.929647,210,188.991816
291.902738,287,189.243385
256.233147,249,189.489521
278.435612,251,189.749686
278.038721,241,189.964873
312.507455,268,190.206024
255.406223,287,190.494085
248.123112,271,190.813013
296.954477,253,191.050539
284.290544,198,191.228402
295.109358,188,191.386861
276.176954,243,191.597305
281.832138,257,191.822738
252.033115,231,192.051243
275.386928,527,192.645596
250.373177,217,192.878909
310.499143,215,193.122933
279.433975,252,193.381159
314.132806,233,193.629196
293.757156,255,193.873522
286.072449,159,194.025923
259.240581,201,194.222955
293.359638,664,194.804063
287.175001,194,194.97304
287.166221,213,195.141096
270.013638,205,195.224492
254.935383,187,195.299139
269.824261,173,195.367775
262.274295,177,195.437374
274.834856,221,195.523721
289.021316,223,195.61027
240.146268,174,195.678203
297.412039,211,195.760689
285.727413,182,195.832389
277.015312,189,196.020517
288.306152,195,196.205556
298.096479,234,196.430518
283.397606,192,196.613094
275.753654,216,196.821924
287.198275,196,197.007568
262.115391,178,197.181539
297.562534,227,197.395077
256.583847,224,197.605987
236.409027,180,197.769072
164.341336,1000,198.776136
293.786324,283,199.043172
289.627099,192,199.223878
291.827574,232,199.448521
156.55069,1000,200.435529
260.757903,337,200.766316
301.872652,228,200.992174
288.426583,255,201.252064
286.62074,386,201.650136
295.010965,186,201.835715
265.760048,292,202.09775
245.600197,234,202.291337
280.507465,223,202.480528
183.827358,1000,203.444644
292.65906,162,203.612823
245.456587,200,203.799378
262.468227,230,204.036583
307.127904,225,204.26611
282.639536,323,204.598668
297.043152,256,204.838075
279.529425,265,205.11034
22.464957,95,205.195809
293.594235,226,205.419707
287.347177,164,205.618259
267.948847,155,205.679989
286.91388,208,205.764908
259.213338,178,205.838285
281.811785,223,205.929867
279.063109,187,206.007254
277.693944,163,206.074986
268.246171,195,206.154847
259.587877,197,206.236688
238.408593,159,206.301591
298.482746,214,206.516253
267.0547,187,206.674716
292.397097,217,206.877604
288.86525,220,207.084148
274.56501,312,207.375721
293.818908,269,207.650494
269.301222,189,207.853251
39.805793,89,207.955086
258.109424,186,208.169472
257.937652,182,208.384161
287.670622,221,208.629458
248.84921,180,208.816229
304.276962,260,209.092795
158.394646,1000,210.116099
250.969469,283,210.404471
288.566305,361,210.754457
297.085452,170,210.922582
308.918784,213,211.140832
259.370839,236,211.373931
276.77458,190,211.560326
280.899406,167,211.71982
29.306946,121,211.846433
252.69362,182,212.056084
254.223137,226,212.273367
302.86433,179,212.443251
271.769552,236,212.663551
273.22485,165,212.819545
247.084798,183,212.985189
295.001759,194,213.173176
285.405258,275,213.435997
259.454286,186,213.603155
240.992064,252,213.8351
301.219481,446,214.235868
3.458975,108,214.325487
30.019888,107,214.431118
-7.214462,119,214.557329
317.003507,215,214.786871
291.401209,200,214.9822
282.100206,155,215.136836
252.190366,262,215.400566
